Date,Title,Link,Post ID,Posted Date
22.02.2025,سوريا ستعقد مؤتمرا للحوار الوطني يوم الثلاثاء 25 فبراير، بحسب عضوين في اللجنة التحضيرية. يهدف المؤتمر إلى التوصل إلى إعلان دستوري والاتفاق على الخطوط العريضة للدولة الجديدة.,https://syria.liveuamap.com/ar/2025/23-february-09-syria-to-hold-national-dialogue-conference,22739214,2 الأسبوع منذ
22.02.2025,الجيش الإسرائيلي يعلن أنه هاجم طرق تهريب الأسلحة على الحدود اللبنانية السورية,https://syria.liveuamap.com/ar/2025/22-february-19-israeli-army-says-it-attacked-weapons-smuggling,22739052,2 الأسبوع منذ
22.02.2025,الطيران التركي يستهدف بعدة غارات مواقع ميليشيا «قسد» PKK/SDF في محيط صرين وسد تشرين.  Tishreen_Dam Tişrin Tishrin,https://syria.liveuamap.com/ar/2025/22-february-14-turkish-aircraft-target-sdf-militia-sites,22739035,2 الأسبوع منذ
22.02.2025,تقول القيادة المركزية الأمريكية إن قواتها نفذت غارة جوية دقيقة في شمال غرب سوريا أمس، مما أسفر عن مقتل وسيم تحسين بيرقدار، أحد كبار القادة في منظمة حراس الدين الإرهابية، وهي منظمة تابعة لتنظيم القاعدة.,https://syria.liveuamap.com/ar/2025/22-february-13--centcom-says-its-forces-conducted-a-precision,22739025,2 الأسبوع منذ
22.02.2025,مصادر اعلامية: تصدير النفط عبر الصهاريج من حقول الحسكة إلى مصافي التكرير في حمص وبانياس معدل التصدير اليومي يبلغ أكثر من 5 آلاف برميل من النفط الخام ميليشيات قـسـد تخفّض كمية تكرير النفط في مناطق سيطرتها النفط المستخرج من حقول دير الزور والحسكة,https://syria.liveuamap.com/ar/2025/22-february-11-media-sources-oil-is-exported-via-tankers,22738998,2 الأسبوع منذ
22.02.2025,سوريا: وسيم بيرقدار هو هدف لغارة أميركية بطائرة بدون طيار اليوم، وهو مسؤول الأمن الداخلي السابق في تنظيم حراس الدين.,https://syria.liveuamap.com/ar/2025/21-february-17-syria-wassim-bayrqadar-was-the-target-of-us,22738877,2 الأسبوع منذ
22.02.2025,غارة جوية للتحالف الدولي تستهدف سيارة مجهولة في مدينة الدانا شمالي إدلب,https://syria.liveuamap.com/ar/2025/21-february-14-an-airstrike-by-the-international-coalition,22738836,2 الأسبوع منذ
22.02.2025,طيران التحالف الدولي ينفذ غارة جوية بمنطقة قاح بريف إدلب الشمالي.,https://syria.liveuamap.com/ar/2025/21-february-14-the-international-coalition-aircraft-carried,22738833,2 الأسبوع منذ
22.02.2025,أحمد الشرع يلتقي سفير الصين في سورية اليوم,https://syria.liveuamap.com/ar/2025/21-february-13-ahmad-alshara-meets-with-chinas-ambassador,22738878,2 الأسبوع منذ
22.02.2025,وول ستريت جورنال: الاتحاد الأوروبي سيرفع الاثنين العقوبات عن الطاقة والنقل والقطاع المصرفي في سوريا,https://syria.liveuamap.com/ar/2025/21-february-12-wall-street-journal-the-european-union-will,22738814,2 الأسبوع منذ
22.02.2025,طائرات حربية تركية تقصف أهدافاً لقوات سوريا الديمقراطية على خط صرين غرب كوباني,https://syria.liveuamap.com/ar/2025/21-february-12-turkish-warplanes-strike-sdf-targets-on-the,22738816,2 الأسبوع منذ
22.02.2025,"غارات جوية تركية تستهدف مواقع ""قسد"" جنوبي تل الشيوخ بريف منبج",https://syria.liveuamap.com/ar/2025/21-february-11-turkish-airstrikes-target-sdf-sites-south,22738811,2 الأسبوع منذ
22.02.2025,الحدود السورية اللبنانية: غارات إسرائيلية تستهدف معابر غير شرعية,https://israelpalestine.liveuamap.com/ar/2025/21-february-10-syrianlebanese-border-israeli-raids-target,22738807,2 الأسبوع منذ
22.02.2025,"الجيش الاسرائيلي: طائراتنا أغارت الليلة ""على محاور نقل على الحدود السورية اللبنانية يستخدمها حزب الله في محاولة لنقل وسائل قتالية إلى داخل لبنان""",https://lebanon.liveuamap.com/ar/2025/21-february-05-israeli-army-our-aircraft-tonight-raided-transportation,22738801,2 الأسبوع منذ
22.02.2025,"قصف إسرائيلي يستهدف معبر ""وادي الواويات"" على الحدود السورية اللبنانية",https://israelpalestine.liveuamap.com/ar/2025/20-february-21-israeli-bombing-targets-wadi-alwawiyat-crossing,22738808,2 الأسبوع منذ
