Date,Title,Link,Post ID,Posted Date,Latitude,Longitude,Country,City,Town,Street,FullAddress
01.01.2025,أعمال بناء قاعدة التحالف الدولي في كوباني,https://syria.liveuamap.com/ar/2025/2-january-10-construction-work-of-the-international-coalition,22726392,2 الشهر منذ,36.88015,38.35344,سوريا,عين العرب,مكتلة,Unknown,"سوريا, عين العرب, مكتلة"
01.01.2025,وزير خارجية الإدارة السورية ووزير الدفاع ورئيس الاستخبارات يصلون الرياض,https://syria.liveuamap.com/ar/2025/1-january-19-syrian-foreign-minister-defense-minister-and,22726257,2 الشهر منذ,24.64448,46.694,السعودية,Unknown,الوشام,الشيخ عبداللطيف بن عبدالرحمن آل الشيخ,"السعودية, الوشام, الشيخ عبداللطيف بن عبدالرحمن آل الشيخ"
01.01.2025,نائب وزير الخارجية السعودي يستقبل وفدا سوريا رفيع المستوى,https://syria.liveuamap.com/ar/2025/1-january-19-saudi-deputy-foreign-minister-receives-highlevel,22726256,2 الشهر منذ,24.6446,46.69347,السعودية,Unknown,الوشام,الإمام عبدالعزيز بن محمد بن سعود,"السعودية, الوشام, الإمام عبدالعزيز بن محمد بن سعود"
01.01.2025,Ll سقوط 4 قتلى وعشرات المصابين في اشتباكات بين حركة رجال الكرامة وقوات شيخ الكرامة في السويداء,https://syria.liveuamap.com/ar/2025/1-january-15-4-dead-and-dozens-injured-in-clashes-between,22726194,2 الشهر منذ,32.70695,36.56387,سوريا,السويداء,Unknown,Unknown,"سوريا, السويداء"
01.01.2025,إعلام سوري: انفجار في دير جمال شمالي حلب,https://syria.liveuamap.com/ar/2025/1-january-15-explosion-in-deir-jamal-north-of-aleppo,22726196,2 الشهر منذ,36.44323,37.02667,سوريا,دير جمال,دير جمال,Unknown,"سوريا, دير جمال, دير جمال"
01.01.2025,نفذ الجيش التركي قصفاً مدفعياً مكثفاً على قرية جوربرليك في ريف كري سبي (تل أبيض) الغربي، أدى إلى تدمير منازل وممتلكات المدنيين,https://syria.liveuamap.com/ar/2025/1-january-14-the-turkish-military-carried-out-extensive-artillery,22726193,2 الشهر منذ,36.68025,38.75187,سوريا,كوبرلك,كوبرلك,Unknown,"سوريا, كوبرلك, كوبرلك"
01.01.2025,استقدمت قوات سوريا الديمقراطية تعزيزات عسكرية كبيرة إلى جبهة سد تشرين، في إطار تعزيز دفاعاتها ومواجهة التهديدات المتزايدة,https://syria.liveuamap.com/ar/2025/1-january-13-the-syrian-democratic-forces-have-brought-in,22726174,2 الشهر منذ,36.37914,38.17337,سوريا,مدينة سدّ تشرين,Housing complex,سد تشرين,"سوريا, مدينة سدّ تشرين, Housing complex, سد تشرين"
01.01.2025,نفذت طائرات مسيرة تركية هجوما على معمل للسكر في بلدة دير حافر الواقعة شرقي حلب في منطقة خاضعة لسيطرة الأكراد.,https://syria.liveuamap.com/ar/2025/1-january-13-turkish-drones-carried-out-an-attack-on-a-sugar,22726173,2 الشهر منذ,36.14647,37.72233,سوريا,دير حافر,دير حافر,Unknown,"سوريا, دير حافر, دير حافر"
01.01.2025,"قصفت القوات التركية بالمدفعية الثقيلة منطقة جسر قره قوزاك وقرية ""بير حسو"" جنوب مدينة كوباني، ما أدى إلى أضرار مادية في منازل المدنيين وممتلكاتهم.",https://syria.liveuamap.com/ar/2025/1-january-12-turkish-forces-bombed-the-qarqozak-bridge-area,22726175,2 الشهر منذ,36.64611,38.22933,سوريا,جولان,جولان,طريق سوريا,"سوريا, جولان, جولان, طريق سوريا"
01.01.2025,اشتباكات عنيفة في ريف منبج الشرقي بين قوات سوريا الديمقراطية والجيش الوطني السوري بقيادة تركيا، الطيران التركي يقدم دعماً جوياً للجيش الوطني السوري في غارة شمال مسكنة,https://syria.liveuamap.com/ar/2025/1-january-12-fierce-clashes-in-the-eastern-countryside-of,22726142,2 الشهر منذ,36.45035,38.1519,سوريا,تل عريش جنوبي,تل عريش جنوبي,Unknown,"سوريا, تل عريش جنوبي, تل عريش جنوبي"
